year,dirty_energy_consumption,clean_energy_consumption,total_energy_consumption,total_co2_emission
2018,,,105.138,2600446500
2019,,,107.043,2626459400
1990,,,0.88,144796130
1991,,,0.894,174865010
1992,,,0.931,199418670
1993,,,0.962,215108740
1994,,,1.069,218319090
1995,,,1.083,222394930
1996,,,1.096,251744210
1997,,,1.077,277414240
1998,,,0.937,212475340
1999,,,1.368,240183700
2000,,,2.482,276563100
2001,,,2.525,303341380
2002,,,2.607,310818300
2003,,,2.656,340441500
2004,,,2.631,344393730
2005,,,3.115,348988700
2006,,,3.298,346705570
2007,,,3.98,388255230
2008,,,3.606,366293300
2009,,,4.118,401957340
2010,,,4.405,451545600
2011,,,3.977,504800200
2012,,,4.174,515954180
2013,,,4.24,489055100
2014,,,4.349,487889950
2015,,,4.247,539149250
2016,,,4.596,552651500
2017,,,4.893,567254800
2018,,,4.799,603657100
2019,,,4.873,659435700
1990,,,2.402,550364540
1991,,,1.353,545247000
1992,,,1.419,555937200
1993,,,1.566,559591700
1994,,,1.566,586924900
1995,,,1.566,620068000
1996,,,1.626,670944900
1997,,,1.622,705702700
1998,,,1.678,748133200
1999,,,1.678,772921300
2000,,,1.891,783562430
2001,,,2.017,778838850
2002,,,1.989,797232100
2003,,,2.179,831974850
2004,,,2.363,904370560
2005,,,2.767,942667840
2006,,,2.834,994997250
2007,,,2.645,1052404400
2008,,,2.343,1061552640
2009,,,2.139,1016859650
2010,,,3.368,1080785000
2011,,,3.75,1108942200
2012,,,4.159,1094904700
2013,,,3.679,1111054700
2014,,,4.844,1117464300
2015,,,4.862,1158394600
2016,,,5.59,1170781300
2017,,,4.831,1230507000
2018,,,5.488,1270690800
2019,,,5.488,1249558300
1990,,,148.89,209943740
1991,,,155.436,221833920
1992,,,145.051,226934900
1993,,,150.268,235606900
1994,,,155.36,263820320
1995,,,162.22,271581980
1996,,,171.446,276289820
1997,,,180.536,267045680
1998,,,173.741,305503500
1999,,,156.842,379501400
2000,,,212.946,369149600
2001,,,214.66,394752030
2002,,,221.283,397628480
2003,,,218.016,413664600
2004,,,223.347,442118820
2005,,,230.981,463162400
2006,,,211.797,503643460
2007,,,210.398,512659550
2008,,,218.432,534644030
2009,,,249.987,559024830
2010,,,263.622,569771970
2011,,,173.02,577336300
2012,,,215.583,588364800
2013,,,231.871,597952300
2014,,,226.453,632673300
2015,,,180.21,631581200
2016,,,176.389,633826900
2017,,,174.603,685401300
2018,,,183.529,700937540
2019,,,175.292,702958140
1990,40237.188,13089.681,201.888,49057050
1991,43283.137,12979.603,213.429,45185440
1992,23257.012,11184.928,130.733,58889384
1993,17496.41,9489.171,102.236,63129812
1994,17249.775,6153.743,88.242,71089200
1995,17064.408,9246.215,98.593,74083304
1996,17937.207,10887.791,107.287,69283220
1997,17308.654,9469.978,98.944,68079450
1998,18132.455,10828.697,106.158,72101520
1999,16254.482,8037.473,88.276,71681420
2000,14763.155,6915.233,78.034,71715530
2001,16361.872,9267.356,91.244,84556040
2002,16134.338,11563.25,97.379,86322170
2003,16732.297,12697.506,102.112,90785440
2004,17522.402,12561.708,102.976,113635050
2005,18888.262,8810.599,93.48,112764260
2006,19388.984,7484.424,89.523,97964936
2007,21084.91,8660.885,97.961,61169412
2008,21087.178,8806.825,97.103,91803410
2009,18118.33,9757.821,89.228,102968940
2010,19946.396,825.033,65.725,110065830
2011,20836.369,1011.579,68.245,135274160
2012,21058.479,1090.654,68.553,153656660
2013,19267.045,1428.183,63.351,164850880
2014,18732.695,1430.47,61.136,166905260
2015,19685.941,1601.441,63.876,168214450
2016,19962.824,1989.42,65.057,194010860
2017,20999.572,2417.389,68.722,211711280
2018,21989.434,2132.086,70.461,213431070
2019,21840.279,2388.51,70.17,187148430
1990,96791.938,647.584,37.151,32944420
1991,102575.625,758.275,39.929,33674308
1992,101649.633,624.64,40.043,33495316
1993,101646.734,617.794,40.569,33716364
1994,96276.445,752.245,39.01,34838450
1995,82455.703,790.995,33.935,35852984
1996,83911.867,548.721,34.899,37469268
1997,80901.578,736.832,34.159,38804984
1998,76870.375,1008.23,32.988,40708970
1999,80341.789,849.52,34.86,42440180
2000,84232.094,1170.329,37.204,45249116
2001,89217.242,1131.374,39.867,47607612
2002,96728.547,1006.814,43.582,46081588
2003,100331.242,928.968,45.704,45684108
2004,111848.383,1257.762,51.78,46166788
2005,111728.898,1320.326,52.553,48156596
2006,107765.383,1520.019,51.627,47604660
2007,101783.078,1606.476,50.126,47664332
2008,99120.562,1678.374,49.761,47363260
2009,93077.453,1564.96,47.593,42179308
2010,96361.93,1536.26,50.116,41793616
2011,91805.047,1386.153,48.821,38056380
2012,87676.82,1671.704,47.953,38227156
2013,81055.984,1938.703,45.692,37281748
2014,76148.305,2037.288,44.274,36853016
2015,71774.781,2147.783,43.034,38718040
2016,68829.227,2221.773,42.459,40369540
2017,69403.664,2831.845,44.355,39078030
2018,70922.484,3174.353,46.434,39012370
2019,70234.883,3634.593,47.287,37325664
1990,,,4.47,
1991,,,4.405,
1992,,,4.556,
1993,,,5.001,
1994,,,5.338,
1995,,,5.528,
1996,,,6.107,
1997,,,6.262,
1998,,,6.692,
1999,,,7.106,
2000,,,6.901,
2001,,,7.109,
2002,,,7.658,
2003,,,7.861,
2004,,,9.338,
2005,,,9.595,
2006,,,10.218,
2007,,,10.461,
2008,,,9.314,
2009,,,9.939,
2010,,,10.255,
2011,,,10.314,
2012,,,10.392,
2013,,,10.539,
2014,,,11.388,
2015,,,12.959,
2016,,,12.785,
2017,,,15.746,
2018,,,14.942,
2019,,,15.28,
1990,,,4.897,35824360
1991,,,5.073,36148456
1992,,,5.491,42082496
1993,,,5.551,44234508
1994,,,6.035,47474584
1995,,,6.333,49865530
1996,,,6.513,51935750
1997,,,6.664,54865704
1998,,,6.77,56009770
1999,,,6.787,54756052
2000,,,9.587,59519380
2001,,,9.408,63023570
2002,,,7.267,59301356
2003,,,9.301,62414676
2004,,,10.116,58679230
2005,,,9.791,56524140
2006,,,9.642,62148964
2007,,,10.29,62799908
2008,,,10.902,67980180
2009,,,9.619,63860948
2010,,,10.197,68286904
2011,,,11.428,68594740
2012,,,13.497,74784840
2013,,,14.16,63095310
2014,,,15.378,60282330
2015,,,16.818,62939148
2016,,,17.631,61160656
2017,,,16.165,58841630
2018,,,15.563,60256916
2019,,,18.246,58645204
1990,,,4.707,439549820
1991,,,5.38,439094100
1992,,,5.457,439315300
1993,,,5.336,431604830
1994,,,5.664,425796800
1995,,,5.898,449826100
1996,,,5.984,444029380
1997,,,6.019,449754140
1998,,,6.386,461945950
1999,,,6.305,466424930
2000,,,6.811,470487170
2001,,,6.692,470568100
2002,,,6.613,477998980
2003,,,6.947,495961630
2004,,,7.409,501563230
2005,,,7.209,502255420
2006,,,7.447,496846750
2007,,,7.425,490566270
2008,,,8.464,478868670
2009,,,7.879,424694430
2010,,,9.448,436117440
2011,,,9.513,424256260
2012,,,9.553,403696900
2013,,,9.714,369679700
2014,,,9.998,349390340
2015,,,9.63,361163170
2016,,,10.148,358182560
2017,,,10.444,352735400
2018,,,9.955,349005020
2019,,,9.875,339233200
1990,13077.46,679.73,240.986,7527165
1991,16023.865,730.212,301.866,7750991
1992,17697.732,684.075,340.554,7708731
1993,17226.408,753.292,342.515,8000958.5
1994,17590.086,978.633,363.737,8188610
1995,18849.223,913.079,397.951,9173406
1996,20732.895,740.924,444.273,9687622
1997,23676.77,580.706,515.451,10068187
1998,22111.412,604.263,495.441,9694035
1999,22670,998.325,529.429,9958188
2000,25660.818,980.757,611.295,10313990
2001,25751.271,834.798,625.903,10576440
2002,26593.85,708.148,659.137,10202580
2003,28216.211,650.427,714.144,10667060
2004,29752.029,706.554,771.615,10574223
2005,31477.154,736.47,835.091,10416539
2006,31110.602,753.819,844.779,11577210
2007,32535.176,711.245,901.092,10749231
2008,32815.227,884.951,932.785,10779635
2009,31169.691,839.548,903.263,7933788
2010,31718.057,755.18,932.609,7677295
2011,31574.139,929.678,948.875,8255604.5
2012,33936.547,1017.472,1038.08,7912829
2013,34782.012,1196.741,1086.398,8492241
2014,34460.211,1277.396,1097.288,7697454
2015,34413.789,1307.724,1114.347,7998908
2016,35253.773,1803.597,1172.807,8163432
2017,34688.133,2338.182,1188.351,7797546
2018,34839.504,2334.421,1209.475,8086434.5
2019,35279.062,2338.341,1241.533,7823415
1990,,,0.422,1158129400
1991,,,0.422,1169777700
1992,,,0.423,1179504300
1993,,,0.494,1172487300
1994,,,0.99,1227513600
1995,,,1.361,1239909400
1996,,,1.424,1252447000
1997,,,1.23,1245139500
1998,,,1.355,1205249900
1999,,,1.355,1241835500
2000,,,2.862,1264594600
2001,,,2.4,1249988500
2002,,,2.869,1279362300
2003,,,2.494,1287691900
2004,,,3.263,1283076600
2005,,,2.954,1290599400
2006,,,3.744,1267624000
2007,,,3.879,1303362000
2008,,,4.217,1232480800
2009,,,4.48,1163375100
2010,,,4.529,1215058000
2011,,,4.894,1265034900
2012,,,6.23,1306182500
2013,,,6.569,1315568800
2014,,,8.801,1264413200
2015,,,6.581,1223605100
2016,,,6.972,1203888100
2017,,,7.222,1188359000
2018,,,8.271,1143411800
2019,,,9.288,1106015500
1990,,,2.48,
1991,,,2.485,
1992,,,2.677,
1993,,,2.7,
1994,,,2.706,
1995,,,2.715,
1996,,,2.813,
1997,,,2.85,
1998,,,2.914,
1999,,,2.916,
2000,,,4.403,
2001,,,4.455,
2002,,,4.512,
2003,,,4.529,
2004,,,4.702,
2005,,,5.387,
2006,,,6.211,
2007,,,7.152,
2008,,,8.558,
2009,,,10.642,
2010,,,11.635,
2011,,,12.557,
2012,,,13.362,
2013,,,14.131,
2014,,,15.495,
2015,,,17.258,
2016,,,21.815,
2017,,,23.786,
2018,,,24.775,
2019,,,25.342,
1990,,,8.106,10476423
1991,,,8.54,9903911
1992,,,8.976,11984199
1993,,,9.475,11774286
1994,,,10.143,13249567
1995,,,9.842,13208063
1996,,,10.209,13825418
1997,,,10.89,14074057
1998,,,11.406,14253067
1999,,,12.646,14266665
2000,,,18.515,15200204
2001,,,20.395,15609517
2002,,,19.9,16420437
2003,,,23.127,16982176
2004,,,24.279,18670694
2005,,,20.713,20436792
2006,,,21.168,20526390
2007,,,23.06,21436498
2008,,,23.882,20717996
2009,,,25.45,21336692
2010,,,30.381,20615326
2011,,,28.884,21243760
2012,,,27.543,23814572
2013,,,26.145,23818208
2014,,,26.757,25898838
2015,,,29.281,25557236
2016,,,32.548,24254738
2017,,,37.073,25428558
2018,,,38.703,24959566
2019,,,40.376,26328034
1990,,,6.393,278781760
1991,,,5.342,269489800
1992,,,5.88,245215820
1993,,,8.011,217963800
1994,,,7.914,184332700
1995,,,8.026,177082240
1996,,,8.048,162760500
1997,,,8.15,154166190
1998,,,8.088,148818180
1999,,,8.088,123721704
2000,,,9.409,147473710
2001,,,9.443,142295090
2002,,,9.848,159971300
2003,,,9.707,177823940
2004,,,9.74,187304220
2005,,,9.558,200437920
2006,,,9.56,220048080
2007,,,9.931,226128850
2008,,,9.977,227121440
2009,,,9.96,221057170
2010,,,9.933,246982750
2011,,,10.325,237033970
2012,,,10.493,243921900
2013,,,10.567,251452720
2014,,,10.949,297643500
2015,,,9.445,301273150
2016,,,9.529,304839550
2017,,,9.116,320791460
2018,,,9.301,331820700
2019,,,9.238,297569470
1990,,,3.981,5687209
1991,,,4.165,4708958
1992,,,13.498,5402381
1993,,,13.816,6214680
1994,,,13.778,6421892
1995,,,13.98,7405763
1996,,,14.146,9154939
1997,,,14.16,8119526
1998,,,14.215,9896093
1999,,,14.215,10028879
2000,,,5.044,10390516
2001,,,5.265,9236819
2002,,,5.651,7819235
2003,,,5.846,6587069
2004,,,6.3,7438961
2005,,,6.514,8338351
2006,,,6.349,9335661
2007,,,7.228,9540667
2008,,,8.89,9911045
2009,,,8.823,11966561
2010,,,8.757,11744717
2011,,,9.424,12928337
2012,,,10.429,11967255
2013,,,9.438,12905685
2014,,,11.325,13881515
2015,,,11.479,16295494
2016,,,10.664,17390574
2017,,,16.126,17018376
2018,,,17.216,18169172
2019,,,17.996,19177196
1990,,,7.945,21984
1991,,,8.048,21984
1992,,,9.62,25648
1993,,,9.692,29312
1994,,,9.659,29312
1995,,,10.344,29312
1996,,,10.363,29312
1997,,,10.471,29312
1998,,,10.762,29312
1999,,,11.871,29312
2000,,,16.069,32976
2001,,,16.401,29312
2002,,,16.111,43968
2003,,,16.461,47632
2004,,,16.964,47632
2005,,,18.18,62288
2006,,,18.978,65952
2007,,,19.697,58624
2008,,,20.27,65952
2009,,,19.555,54960
2010,,,21.067,58624
2011,,,21.594,54960
2012,,,21.773,51296
2013,,,22.077,51296
2014,,,22.751,58624
2015,,,23.597,54960
2016,,,24.531,54960
2017,,,26.914,65952
2018,,,28.407,65952
2019,,,29.555,65952
1990,14407.87,1165.792,1272.686,7386624
1991,14711.415,1147.417,1321.859,8130416
1992,14551.742,1278.706,1345.48,8372240
1993,14320.792,1286.682,1352.363,8313616
1994,15159.798,1017.559,1428.694,7873936
1995,14268.734,1378.987,1407.819,8005840.5
1996,14409.636,1449.567,1452.49,7126480
1997,14509.431,1336.257,1476.55,8335600
1998,15037.311,1231.067,1541.71,8855888
1999,14740.25,1479.549,1562.531,8093775.5
2000,15282.31,1433.684,1636.052,8148736
2001,14974.587,1277.78,1615.392,8496816
2002,15339.525,1170.13,1666.106,37807036
2003,15345.357,1048.014,1679.162,492841280
2004,15882.575,1147.741,1770.23,29648394
2005,16609.426,1259.597,1884.153,49129430
2006,16893.797,1293.54,1943.986,55225776
2007,16837.342,1200.781,1953.582,54589612
2008,16741.693,1459.819,1996.424,49913640
2009,16680.223,1136.516,1978.539,54670690
2010,16832.049,1276.962,2037.85,51560344
2011,17372.637,1335.28,2135.518,53822656
2012,17340.824,1212.745,2147.686,53385364
2013,17193.113,1193.483,2156.576,57485384
2014,16651.635,1428.081,2147.073,57981036
2015,16517.48,1329.123,2144.268,59624100
2016,16552.91,1319.214,2171.807,63108924
2017,16567.764,1369.33,2203.38,71165760
2018,16184.805,1505.061,2193.789,73389650
2019,15422.463,1413.334,2105.911,74875310
1990,,,0,82297256
1991,,,0,86954960
1992,,,0,89272264
1993,,,0,86262700
1994,,,0,101766056
1995,,,0,83723280
1996,,,0,75623530
1997,,,0,92447750
1998,,,0,101897144
1999,,,0,95937820
2000,,,0.526,97045440
2001,,,0.598,104360610
2002,,,0.556,477924830
2003,,,0.6,19322228
2004,,,0.577,15956699
2005,,,0.492,11080756
2006,,,0.507,8502275
2007,,,0.565,6147083
2008,,,0.492,4511588
2009,,,0.68,5664159
2010,,,0.475,5574669
2011,,,0.549,5914543
2012,,,0.611,4648470
2013,,,0.644,4602495
2014,,,0.674,3861425
2015,,,0.709,4920849
2016,,,0.749,5381613
2017,,,0.757,5807885
2018,,,0.764,5514575
2019,,,0.721,5419141
1992,,,62.269,6518943
1993,,,46.393,7546983
1994,,,32.446,6736609
1995,,,33.192,6313962
1996,,,37.952,7553504
1997,,,41.741,9998398
1998,,,38.828,9658305
1999,,,31.711,10095418
2000,,,32.95,10278881
2001,,,32.234,9646228
2002,,,35.498,9348074
2003,,,39.424,11104531
2004,,,36.806,9030280
2005,,,40.291,512960.03
2006,,,42.639,545936
2007,,,37.104,592727
2008,,,38.324,607425
2009,,,34.537,634264
2010,,,34.162,670900
2011,,,33.101,749891
2012,,,45.268,792409
2013,,,44.536,820068
2014,,,42.598,845838
2015,,,38.075,960400
2016,,,38.051,1062694
2017,,,38.689,1165768
2018,,,41.251,1220964
2019,,,41.943,1282484
1990,,,57.101,1337012
1991,,,59.254,1757335
1992,,,52.94,1835383
1993,,,48.582,2131341
1994,,,45.29,2667456
1995,,,43.172,3004513
1996,,,44.448,3170104
1997,,,40.614,3397982
1998,,,41.314,4261159
1999,,,41.56,4449693
2000,,,43.362,9229252
2001,,,43.276,16458120
2002,,,46.155,19683848
2003,,,43.815,20558106
2004,,,43.011,19596154
2005,,,44.603,19661396
2006,,,48.041,17919402
2007,,,50.428,14193356
2008,,,49.832,11921497
2009,,,50.457,10370008
2010,,,49.192,9133782
2011,,,51.201,9211501
2012,,,55.022,8679764
2013,,,58.389,8305878.5
2014,,,57.184,7717713
2015,,,56.882,7081469
2016,,,59.656,7496323
2017,,,65.153,7520245
2018,,,71.096,7725858
2019,,,78.494,7730934
2005,,,,7810471
2006,,,15.352,8309829
2007,,,13.809,8637101
2008,,,15.605,8197894
2009,,,13.46,7456006
2010,,,16.806,8554094
2011,,,13.863,7810795
2012,,,13.466,7519410
2013,,,14.502,7368437
2014,,,12.953,7171961
2015,,,13.325,7262099
2016,,,13.306,7210325
2017,,,12.423,7214946
2018,,,14.846,7859363
2019,,,14.224,7648673
1990,,,0.075,7868195
1991,,,0.131,8115152.5
1992,,,0.132,9726913
1993,,,0.131,10354905
1994,,,0.131,11110825
1995,,,0.194,12254741
1996,,,0.194,12752780
1997,,,0.194,15098693
1998,,,0.194,16286495
1999,,,0.194,16429672
2000,,,0.116,15466264
2001,,,0.116,16406607
2002,,,0.168,16243744
2003,,,0.168,18529028
2004,,,0.168,17208414
2005,,,0.168,16650190
2006,,,0.168,14792376
2007,,,0.186,13746087
2008,,,0.239,17417774
2009,,,0.202,20957556
2010,,,0.27,19996596
2011,,,0.187,20264128
2012,,,0.181,22332032
2013,,,0.228,22163384
2014,,,0.213,23992028
2015,,,0.24,25734552
2016,,,0.137,26457210
2017,,,0.123,27846290
2018,,,0.137,26202854
2019,,,0.137,26400286
1990,3221.229,146.822,82.756,1472928
1991,3208.67,145.08,83.804,1527888
1992,3579.778,112.223,93.779,1586512
1993,3621.372,50.76,94.766,1634144
1994,3891.775,94.799,104.454,1674448
1995,3783.786,67.924,102.452,1707424
1996,3752.968,214.334,107.114,1736736
1997,3839.615,224.82,111.354,1769712
1998,3920.473,189.069,114.212,1802688
1999,4118.697,86.578,118.492,1824672
2000,4032.686,80.981,117.463,1850320
2001,4278.16,108.463,126.905,1875968
2002,4335.479,103.199,130.061,1905280
2003,4236.205,160.802,130.421,1930928
2004,4773.607,171.778,148.525,1982224
2005,5183.186,110.192,161.088,2011535.9
2006,5223.031,107.585,164.359,2037184
2007,5108.249,106.921,162.883,2073823.9
2008,5575.425,107.846,179.79,2125120
2009,5216.463,257.937,175.416,2216720
2010,5639.891,352.812,194.552,2275344
2011,5980.905,226.176,204.236,3063104
2012,6034.668,193.946,207.738,3092416
2013,5987.96,322.501,213.316,2333968
2014,6036.284,281.702,216.382,2473200
2015,6012.323,342.449,220.386,2242368
2016,5991.993,355.133,222.83,2213056
2017,6219.807,347.185,233.313,2513504
2018,6241.439,477.511,241.395,2370608
2019,6709.564,547.71,263.471,2388928
1990,,,5.464,467124
1991,,,5.607,370884
1992,,,5.534,387994
1993,,,5.97,424629
1994,,,5.774,422584
1995,,,6.086,423397
1996,,,6.362,434790
1997,,,7.567,453515
1998,,,9.395,484039
1999,,,22.797,390794
2000,,,31.283,413425
2001,,,39.582,443066
2002,,,38.893,432027
2003,,,39.491,464323
2004,,,40.323,546472
2005,,,44.253,650572
2006,,,48.221,672734
2007,,,53.817,625121
2008,,,50.062,530796
2009,,,54.108,470687
2010,,,54.352,756900
2011,,,61.317,848052
2012,,,65.907,962647
2013,,,70.004,874265
2014,,,77.213,1187862
2015,,,84.857,1203323
2016,,,86.495,1353802
2017,,,86.932,1227956
2018,,,71.69,1081641
2019,,,72.195,1106372
1990,,,25.123,36513784
1991,,,24.876,42619850
1992,,,26.015,37024420
1993,,,27.799,38708330
1994,,,32.523,43752490
1995,,,34.496,45689944
1996,,,34.848,44514424
1997,,,37.122,45506216
1998,,,41.131,45807620
1999,,,41.697,45054524
2000,,,48.049,47514864
2001,,,44.351,48462692
2002,,,51.471,48186164
2003,,,58.021,49473550
2004,,,60.847,50628910
2005,,,78.402,56988604
2006,,,74.007,53255750
2007,,,79.877,49977430
2008,,,73.33,53590668
2009,,,67.539,53121372
2010,,,68.499,60652790
2011,,,74.951,49212444
2012,,,88.835,55278760
2013,,,102.882,43458376
2014,,,120.327,60602116
2015,,,112.26,54550696
2016,,,129.151,51649400
2017,,,170.899,53437016
2018,,,182.902,54015800
2019,,,169.15,69243500
1990,,,10.159,198971
1991,,,5.397,206329
1992,,,5.022,206950
1993,,,6.315,215034
1994,,,6.02,201111
1995,,,9.466,204202
1996,,,9.19,205960
1997,,,8.877,218376
1998,,,9.753,229239
1999,,,13.059,226566
2000,,,12.682,216860
2001,,,14.678,214671
2002,,,14.113,220018
2003,,,14.88,229355
2004,,,15.511,229391
2005,,,16.35,228986
2006,,,16.297,231121
2007,,,16.77,200794
2008,,,17.675,219536
2009,,,18.016,205375
2010,,,18.547,190830
2011,,,19.359,176782
2012,,,20.144,185325
2013,,,20.524,192545
2014,,,21.838,161259
2015,,,22.859,159774
2016,,,22.91,149838
2017,,,23.375,155769
2018,,,22.676,142950
2019,,,21.796,149026
1990,,,0.559,35767736
1991,,,0.559,37850000
1992,,,0.56,21201456
1993,,,0.559,16353746
1994,,,0.559,15801144
1995,,,0.626,15091554
1996,,,0.627,15773444
1997,,,0.626,15196349
1998,,,0.626,16030579
1999,,,0.626,13482975
2000,,,0.458,11876400
2001,,,0.415,12627074
2002,,,0.389,12699160
2003,,,0.349,12692601
2004,,,0.328,13287306
2005,,,0.321,14117414
2006,,,0.234,14434081
2007,,,0.228,15824054
2008,,,0.232,15204230
2009,,,0.225,13043233
2010,,,0.237,13946613
2011,,,0.233,14292825
2012,,,0.248,14349487
2013,,,0.289,13355973
2014,,,0.312,13108084
2015,,,0.332,13319679
2016,,,0.365,13351177
2017,,,0.284,13571834
2018,,,0.334,13691349
2019,,,0.267,13923306
1990,,,5.545,189785330
1991,,,6.322,187560200
1992,,,6.666,172364260
1993,,,6.811,164415070
1994,,,7.646,157911550
1995,,,8.456,150054910
1996,,,9.594,142818050
1997,,,10.355,144910620
1998,,,12.596,145072030
1999,,,14.234,154845570
2000,,,14.713,159842820
2001,,,15.525,163222820
2002,,,16.347,152317730
2003,,,17.195,174271580
2004,,,17.175,177348450
2005,,,17.834,181790640
2006,,,17.594,189636660
2007,,,17.467,194192670
2008,,,19.34,206964370
2009,,,22.126,191709440
2010,,,23.594,191076900
2011,,,25.144,178304540
2012,,,26.434,171134350
2013,,,27.945,158931800
2014,,,30.193,168480050
2015,,,27.033,151918340
2016,,,39.734,154928580
2017,,,45.385,188654080
2018,,,49.873,183890060
2019,,,43.762,195217390
1990,60104.992,835.936,910.735,2236869600
1991,60854.719,824.638,928.063,2253435600
1992,61062.695,922.437,939.117,2303119600
1993,61124.77,966.94,946.966,2297714000
1994,60038.215,993.74,936.809,2271008000
1995,62091.938,1025.99,974.962,2332350200
1996,64328.18,1128.78,1017.111,2424015000
1997,63062.738,843.604,998.851,2490714000
1998,62828.176,1152.468,1005.942,2521686500
1999,61661.109,1186.471,993.777,2669635300
2000,62039.641,1285.764,1006.819,2776970000
2001,64075.078,1347.364,1045.557,2872391400
2002,63691.043,1455.52,1046.061,2945790500
2003,63843.559,1453.07,1053.076,3078285600
2004,65559.891,1662.994,1088.744,3232235500
2005,66299.109,2096.74,1112.242,3375465700
2006,64614.66,2125.344,1089.576,3528283600
2007,65239.363,2328.719,1107.524,3733660200
2008,63864.879,2619.768,1094.389,3860965400
2009,62341.004,2927.376,1079.291,4028245800
2010,65913.375,2845.721,1142.578,4246978600
2011,62408.766,3155.146,1095.014,4506043400
2012,59983.68,3114.628,1059.124,4738324000
2013,58060.125,2851.682,1027.421,4820519000
2014,54288.984,2902.668,969.632,5045831700
2015,54495.758,3217.817,983.503,5218653700
2016,55164.645,3329.515,1001.684,5461015000
2017,53684.207,3652.759,986.609,5655321000
2018,53127.336,3934.976,986.382,5949402600
2019,52045.594,4714.772,985.545,6161634000
1990,,,43.107,11823353
1991,,,41.088,12443151
1992,,,40.612,12209723
1993,,,40.6,12354764
1994,,,41.986,11542475
1995,,,44.687,9151729
1996,,,44.187,9201614
1997,,,46.818,8553970
1998,,,47.384,7675949
1999,,,46.307,8127875.5
2000,,,54.727,8709963
2001,,,56.207,9207531
2002,,,54.648,9983685
2003,,,54.264,10459170
2004,,,56.305,11829091
2005,,,58.361,12087836
2006,,,58.758,11920357
2007,,,62.143,11317780
2008,,,62.031,11184473
2009,,,59.62,10638966
2010,,,51.435,11202164
2011,,,58.015,11102959
2012,,,54.298,10867476
2013,,,54.429,10325364
2014,,,54.949,9828191
2015,,,56.295,9347466
2016,,,56.814,9089235
2017,,,57.297,9261198
2018,,,57.903,9566671
2019,,,56.041,9751728
1990,,,7.51,1033247.94
1991,,,7.58,1091872
1992,,,7.803,1080880
1993,,,7.694,1179808
1994,,,7.935,1271408
1995,,,7.955,1231104
1996,,,7.994,1406976
1997,,,7.461,1487584
1998,,,7.611,1557200
1999,,,7.768,1516896
2000,,,10.029,1630480
2001,,,9.591,1685440
2002,,,10.372,1516896
2003,,,11.221,1531552
2004,,,10.883,1714752
2005,,,11.944,1828336
2006,,,11.755,1619488
2007,,,12.615,1363008
2008,,,12.662,1132176
2009,,,12.737,1890624
2010,,,14.832,1234768
2011,,,14.662,1463603
2012,,,15.575,1298118
2013,,,16.69,1211038
2014,,,19.201,1518543
2015,,,19.653,1998679
2016,,,20.955,1780704
2017,,,20.249,1927264
2018,,,22.579,1242096
2019,,,22.226,1212784
1990,32103.826,22733.436,186.303,929640
1991,32479.764,22075.588,189.94,1010210.06
1992,33653.812,20204.879,190.259,980861
1993,32715.115,22079.121,195.82,1006472
1994,33601.188,23594.572,207.1,1247425
1995,33803.809,24583.354,214.509,1287705
1996,35311.137,23094.744,217.764,1340553
1997,37236,20589.725,218.341,1623118
1998,35087.328,22205.273,218.288,1710612
1999,36858.578,20413.795,219.553,1817650
2000,37895.395,21664.412,229.619,1867232
2001,39269.605,19107.164,227.062,1735646
2002,38684.594,20946.447,235.458,1232145
2003,37203.059,19471.9,227.83,1681066
2004,35968.078,21853.275,235.993,1789720
2005,36143.227,19191.807,228.688,1726562
2006,35974.023,19210.275,230.67,1667383
2007,35169.211,19279.561,229.868,1724027
2008,35507.223,18621.371,230.632,1779958
2009,33166.273,20244.898,229.854,1706379
2010,33057.105,20980.314,234.914,1871843
2011,32610.016,21329.912,236.385,2373945
2012,34021.996,19917.963,237.963,2744214
2013,33991.953,19900.008,239.88,3207590
2014,34691.906,20852.039,250.767,3157868
2015,33984.699,20948.131,252.205,3227484
2016,33286.188,21277.863,254.744,3267788
2017,34383.16,20268.504,259.417,4118890.8
2018,32909.465,20313.902,257.556,3822318
2019,33635.613,19559.182,263.842,4298984
1990,,,10.795,732901
1991,,,10.327,778580
1992,,,11.647,778640
1993,,,11.986,872390
1994,,,12.221,892500
1995,,,13.075,902762
1996,,,13.782,898058
1997,,,14.174,940151
1998,,,15.336,919047
1999,,,16.443,922104
2000,,,16.296,865487
2001,,,17.299,790660
2002,,,17.631,846135
2003,,,18.707,903374
2004,,,19.469,912251
2005,,,19.787,904839
2006,,,19.883,916686
2007,,,20.711,969425
2008,,,20.961,1087435
2009,,,20.969,1092963
2010,,,21.679,1025136
2011,,,22.805,1140182
2012,,,23.018,1132054
2013,,,24.429,1163078
2014,,,25.844,1020622.94
2015,,,28.358,1071325
2016,,,28.38,1194351
2017,,,28.365,1360279
2018,,,28.134,1570154
2019,,,28.614,1592955
1990,,,3.73,54269364
1991,,,3.776,65785132
1992,,,3.686,72961016
1993,,,3.882,86718630
1994,,,3.921,90630990
1995,,,4.04,113933660
1996,,,4.06,113441944
1997,,,4.081,122084584
1998,,,4.236,114237500
1999,,,3.943,108291440
2000,,,3.317,126203050
2001,,,3.249,133988160
2002,,,3.455,135118200
2003,,,3.799,156521330
2004,,,4.168,171102000
2005,,,3.928,181332800
2006,,,3.952,178785310
